slug,area,dy
RBRD11,Híbrido,"0.95"
VCRA11,Títulos e Valores Mobiliários,"0.94"
KISU11,Títulos e Val. Mob.,"0.94"
RBLG11,Logística,"0.94"
FIIP11B,Logística,"0.94"
XPIN11,Outros,"0.94"
HSML11,Shoppings,"0.94"
NEWL11,Híbrido,"0.93"
KCRE11,Renda,"0.93"
TORD11,Outros,"0.93"
KFOF11,Títulos e Val. Mob.,"0.92"
HGFF11,Títulos e Val. Mob.,"0.92"
CXRI11,Híbrido,"0.92"
SDIL11,Logística,"0.92"
IDFI11,Híbrido,"0.92"
NSLU11,Hospital,"0.91"
RNGO11,Lajes Corporativas,"0.91"
SNLG11,Logística,"0.91"
GGRC11,Logística,"0.91"
SCPF11,Shoppings,"0.91"
CORM11,Híbrido,"0.90"
HUSI11,Hospital,"0.90"
BCFF11,Títulos e Val. Mob.,"0.89"
HSLG11,Logística,"0.89"
VVPR11,Híbrido,"0.88"
LASC11,Shoppings,"0.87"
MAXR11,Outros,"0.86"
HGIC11,Títulos e Val. Mob.,"0.85"
BCRI11,Títulos e Val. Mob.,"0.84"
EDFO11B,Lajes Corporativas,"0.84"
JRDM11,Shoppings,"0.84"
PQDP11,Shoppings,"0.84"
HUSC11,Outros,"0.83"
PQAG11,Logística,"0.83"
XPCM11,Lajes Corporativas,"0.82"
TRXF11,Outros,"0.82"
FIGS11,Shoppings,"0.82"
XPML11,Shoppings,"0.81"
BRCR11,Híbrido,"0.81"
EVBI11,Híbrido,"0.80"
FLRP11,Shoppings,"0.80"
FCFL11,Outros,"0.80"
VSLH11,Outros,"0.79"
RBRL11,Logística,"0.79"
BTLG11,Logística,"0.79"
XPLG11,Logística,"0.79"
BRLA11,Híbrido,"0.79"
MALL11,Shoppings,"0.79"
LUGG11,Residencial,"0.79"
FATN11,Híbrido,"0.78"
EURO11,Logística,"0.78"
ITIT11,Títulos e Val. Mob.,"0.78"
VISC11,Shoppings,"0.78"
LGCP11,Logística,"0.78"
SNFF11,Títulos e Val. Mob.,"0.77"
NVHO11,Hospital,"0.77"
ABCP11,Shoppings,"0.77"
HGBS11,Shoppings,"0.77"
HLOG11,Logística,"0.77"
ARRI11,Títulos e Val. Mob.,"0.75"
RBRS11,Híbrido,"0.75"
LVBI11,Logística,"0.75"
TEPP11,Lajes Corporativas,"0.75"
MATV11,Títulos e Val. Mob.,"0.74"
HGRU11,Híbrido,"0.74"
ALZR11,Logística,"0.74"
CXCO11,Lajes Corporativas,"0.73"
FIIB11,Híbrido,"0.73"
BICR11,Títulos e Val. Mob.,"0.73"
GTLG11,,"0.73"
VINO11,Lajes Corporativas,"0.73"
PVBI11,Lajes Corporativas,"0.71"
HGRE11,Lajes Corporativas,"0.69"
KNRI11,Híbrido,"0.69"
HUSI11,Hospital,"0.69"
HOSI11,Híbrido,"0.68"
HGLG11,Logística,"0.68"
BMLC11,Lajes Corporativas,"0.68"
JSRE11,Híbrido,"0.68"
HBRH11,Híbrido,"0.67"
HAAA11,Lajes Corporativas,"0.67"
WPLZ11,Shoppings,"0.66"
BRCO11,Logística,"0.66"
JRDM11,Shoppings,"0.65"
HGPO11,Lajes Corporativas,"0.65"
FLMA11,Híbrido,"0.64"
RCRB11,Lajes Corporativas,"0.64"
VLOL11,Lajes Corporativas,"0.64"
PLRI11,Títulos e Val. Mob.,"0.64"
HPDP11,Shoppings,"0.64"
FVPQ11,Shoppings,"0.63"
CCRF11,Títulos e Val. Mob.,"0.63"
EDGA11,Lajes Corporativas,"0.62"
WTSP11B,Híbrido,"0.62"
BLCP11,Outros,"0.62"
RBGS11,Shoppings,"0.62"
VILG11,Logística,"0.61"
HSRE11,Híbrido,"0.61"
RBRP11,Outros,"0.60"
HTMX11,Hotel,"0.59"
CPFF11,Híbrido,"0.59"
FAMB11B,Lajes Corporativas,"0.56"
ONEF11,Lajes Corporativas,"0.56"
ERPA11,,"0.53"
RMAI11,Lajes Corporativas,"0.53"
DRIT11B,Lajes Corporativas,"0.52"
SHPH11,Shoppings,"0.52"
BLCA11,Lajes Corporativas,"0.50"
BPML11,Shoppings,"0.46"
ARCT11,Híbrido,"0.44"
IBFF11,Títulos e Val. Mob.,"0.44"
TRNT11,Lajes Corporativas,"0.44"
PRSV11,Lajes Corporativas,"0.42"
BREV11,Híbrido,"0.40"
CXTL11,Logística,"0.40"
CNES11,Lajes Corporativas,"0.39"
CTXT11,Lajes Corporativas,"0.39"
BTWR11,Lajes Corporativas,"0.37"
PATC11,Lajes Corporativas,"0.33"
XPPR11,Outros,"0.33"
KEVE11,Residencial,"0.32"
CBOP11,Lajes Corporativas,"0.28"
BLMO11,Lajes Corporativas,"0.24"
CARE11,Híbrido,"0.23"
RNDP11,Títulos e Val. Mob.,"0.21"
RBVO11,Outros,"0.21"
NEWU11,Lajes Corporativas,"0.16"
ATSA11,Shoppings,"0.07"
SNID11,Renda,"0.04"
GSFI11,Shoppings,"0.03"
ALMI11,Lajes Corporativas,"0.00"
BBIM11,Títulos e Val. Mob.,"0.00"
BRIP11,Híbrido,"0.00"
BTSG11,Híbrido,"0.00"
BTSI11,Híbrido,"0.00"
BZLI11,Títulos e Val. Mob.,"0.00"
CCME11,Outros,"0.00"
ERCR11,Híbrido,"0.00"
FEXC11,Títulos e Val. Mob.,"0.00"
FISC11,Lajes Corporativas,"0.00"
FIVN11,Shoppings,"0.00"
GESE11B,Outros,"0.00"
HGRS11,Residencial,"0.00"
HOFC11,Lajes Corporativas,"0.00"
NVIF11B,Outros,"0.00"
PABY11,Híbrido,"0.00"
RBDS11,Residencial,"0.00"
RBIR11,Residencial,"0.00"
RBOP11,Outros,"0.00"
RBTS11,Outros,"0.00"
RSPD11,Residencial,"0.00"
SPVJ11,Outros,"0.00"
STRX11,Híbrido,"0.00"
VJFD11,Híbrido,"0.00"
XTED11,Lajes Corporativas,"0.00"
YUFI11B,Residencial,"0.00"
ZAVI11,Híbrido,"0.00"
